productId,userId,score,timestamp,label,name,tags,productCategory1,productCategory2,productCategory3,productRatingCount,productAvgRating,productRatingStddev,userRatedProduct1,userRatedProduct2,userRatedProduct3,userRatingCount,userAvgRating,userRatingStddev,userCategory1,userCategory2,userCategory3,userTag1,userTag2,userTag3
104168,23499,3.0,1375804800,0,谢谢你离开我,书|教育类|少儿图书|好看|很有教育意义|内容不错,图书音像,少儿,少儿/教育图书,371,4.56,0.78,167781,139060,379243,11,4.18,0.75,图书音像,少儿/教育图书,考试,书,好看,好用
122417,1556,4.0,1322928000,1,不能承受的生命之轻,哲学类|书|小说|米兰昆德拉|媚俗|好看|看不懂,哲学/宗教,人文社科类图书,图书音像,604,4.32,0.99,6797,302217,90897,4,4.50,1.00,彩妆,香水,美妆个护,好用,化妆品,伊丽莎白
13316,51,4.0,1368633600,1,Kingston 金士顿 DataTraveler 101 G2 32GB 优盘,优盘|金士顿|好用|容量挺大的|速度快,存储设备,U盘,电脑/办公,1136,4.15,1.16,155001,75701,231449,4,4.75,0.50,图书音像,音像,有声读物,书,青春文学,文学
13316,90343,5.0,1358697600,1,Kingston 金士顿 DataTraveler 101 G2 32GB 优盘,优盘|金士顿|好用|容量挺大的|速度快,存储设备,U盘,电脑/办公,1136,4.15,1.16,489369,8195,,2,4.50,0.71,存储设备,存储卡,电脑/办公,存储卡,金士顿,SD卡
13543,21331,2.0,1315411200,0,蔡康永的说话之道,蔡康永|写的真好|不贵|内容不错|书,青春文学,文学艺术,图书音像,457,4.19,1.06,407523,154318,,2,5.00,0.00,洁面,面部护理,美妆个护,化妆品,洗面奶,面部护理
139060,2530,5.0,1370188800,1,"Neutrogena露得清深层净化洗面乳二支特惠装100g*2(特卖)(新老包装更替中,随机发货)",洗面奶|化妆品|露得清|好用|用起来很舒服|到货速度快,洁面,面部护理,美妆个护,331,4.59,0.75,231449,260348,333125,8,3.88,0.99,图书音像,生活类图书,文学艺术,书,文学,教育类
139060,4408,5.0,1379520000,1,"Neutrogena露得清深层净化洗面乳二支特惠装100g*2(特卖)(新老包装更替中,随机发货)",洗面奶|化妆品|露得清|好用|用起来很舒服|到货速度快,洁面,面部护理,美妆个护,331,4.59,0.75,3982,14103,473113,16,4.62,0.72,图书音像,文学艺术,彩妆,书,好用,小说
14103,102574,5.0,1379865600,1,SanDisk 闪迪 microSDXC Class10 64GB至尊高速移动存储卡 UHS-1制式 读写速度最高可达30MB/s,存储卡|SD卡|容量挺大的|闪迪|速度快|好用,存储设备,存储卡,电脑/办公,1652,4.52,0.85,48907,139060,286997,3,4.67,0.58,面部护理,美妆个护,洁面,到货速度快,化妆品,用起来很舒服
14103,18451,5.0,1377446400,1,SanDisk 闪迪 microSDXC Class10 64GB至尊高速移动存储卡 UHS-1制式 读写速度最高可达30MB/s,存储卡|SD卡|容量挺大的|闪迪|速度快|好用,存储设备,存储卡,电脑/办公,1652,4.52,0.85,406697,160597,410608,8,4.75,0.46,图书音像,文学艺术,政治/军事,书,好用,到货速度快
14103,348,3.0,1354204800,0,SanDisk 闪迪 microSDXC Class10 64GB至尊高速移动存储卡 UHS-1制式 读写速度最高可达30MB/s,存储卡|SD卡|容量挺大的|闪迪|速度快|好用,存储设备,存储卡,电脑/办公,1652,4.52,0.85,184282,,,2,3.50,2.12,小说,文学艺术,图书音像,书,小说,文学
